Timecode,BlendShapeCount,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,TongueOut
00:00:00:00.0,31.0,0.0080469995737075,0.0,0.0194070115685462,0.0339369066059589,0.0065017733722925,0.0781228244304657,0.037428144365549,0.0006583109498023,0.0,0.0174039304256439,0.0226280242204666,0.0025037787854671,0.0031768372282385,0.001346368342638,0.0,0.0165393017232418,0.0181272979825735,0.0,0.0,0.002393489703536,0.0006330870091915,0.0031516347080469,0.0018879100680351,0.0812665149569511,0.0807152986526489,0.0312923267483711,0.0341411009430885,0.0009957179427146,0.0069108642637729,0.0107198804616928,0.0
00:00:00:01.1,31.0,0.00593693740665905,0.00011455733329055,0.019863605499267502,0.030266534537076898,0.00325088668614625,0.0740573816001415,0.0379147231578826,0.00032915547490115,0.0,0.018150355666875798,0.024579651653766597,0.0053008049726485495,0.00283331703394645,0.0012676920741796,0.00183551176451145,0.019452299922704648,0.0167304184287786,0.0,0.0,0.0035167215391993,0.0021054693497717,0.0042766537517309,0.0040416605770587505,0.08683118596673009,0.09334995597600934,0.03094582911580795,0.033314205706119496,0.0004978589713573,0.0078744105994701,0.009388394653797101,0.0
00:00:00:02.2,31.0,0.007550998590886525,5.7278666645275e-05,0.0199548760429024,0.0347456224262714,0.006808213423937525,0.07945871911942955,0.041144011542200945,0.00017484463751313604,0.0,0.0201735515147447,0.02534314244985575,0.0036648362874984247,0.002531151287257625,0.0006338460370898,0.000917755882255725,0.018708016723394325,0.022047473117709097,0.0,0.00013284943997855,0.00206782529130575,0.00105273467488585,0.0037114582955837,0.002909092232584925,0.0924866665154695,0.10018962994217867,0.035456507932394674,0.037407461553812,0.00193241797387595,0.0072599090635776,0.012078801169991452,0.0
00:00:00:03.3,31.0,0.008464624639600463,5.666282959281725e-05,0.0216768556274473,0.0393290482461452,0.005540550453588313,0.08878714870661492,0.03777264151722187,8.742231875656802e-05,0.0,0.0191820906475186,0.028626814484596225,0.004095649346709212,0.0016623111441731126,0.0003169230185449,0.0004973655450157781,0.021362978965043963,0.0239911619573831,0.0,6.6424719989275e-05,0.003784054191783025,0.0009196099126711249,0.003279416821897,0.0025203702971338627,0.10131165478378529,0.10664647631347174,0.04054645425640038,0.03973501361906525,0.001577994786202875,0.00779673457145685,0.011429124511778327,0.0
00:00:00:04.4,31.0,0.007525679422542382,0.00017079117242245863,0.02217565593309695,0.0330515187233686,0.0027702752267941564,0.06993827363476152,0.028062029276043135,8.080760017036775e-05,0.0,0.01405510166659945,0.02714635059237476,0.002047824673354606,0.0008311555720865563,0.00015846150927245,0.001117289852118089,0.01670261425897473,0.01786419004201885,0.00032241735607385,3.32123599946375e-05,0.0020039161900058124,0.0007900146883912124,0.0029115569777786498,0.0018189153634011314,0.09606711240485305,0.10133047308772797,0.038006670656613936,0.039463450200855676,0.0007889973931014375,0.009727334603667225,0.011081783566623864,4.4656917452812195e-06
00:00:00:05.5,31.0,0.007352350628934741,0.0001433443394489293,0.020422125817276475,0.0376413622871041,0.003138159576337728,0.0742504715453833,0.029204045655205818,0.00014249165542423386,0.0,0.015292662428691924,0.02624725364148613,0.001023912336677303,0.00041557778604327814,7.9230754636225e-05,0.0005586449260590445,0.017192447325214667,0.018698810599744275,0.000161208678036925,1.660617999731875e-05,0.0033449608017690063,0.0003950073441956062,0.003371347906067925,0.0014807942789047657,0.09608749137260013,0.10050771338865158,0.036576054932083865,0.03715767571702594,0.0010750049259513187,0.008302013389766163,0.012000919552519883,2.2328458726406097e-06
00:00:00:06.6,31.0,0.00821136421291152,0.00018883627490136464,0.02111326466547319,0.03680193284526465,0.0028481405170168138,0.0736316092079505,0.03368458210024981,0.00027968885842706695,2.3914966732263565e-05,0.01804342644754791,0.026233467273414114,0.0036185670178383515,0.0021833881037309393,3.96153773181125e-05,0.00027932246302952226,0.017881217296235184,0.01772612566128369,8.06043390184625e-05,8.303089998659375e-06,0.004215252731228203,0.0009149582620011531,0.004255238571204212,0.002202279283665083,0.09709383838344361,0.10176429501734668,0.036359587655169834,0.03676854004152112,0.0012819085968658094,0.007505896966904331,0.011533089564181842,1.1164229363203049e-06
00:00:00:07.7,31.0,0.00998340602382081,0.00011057099618481318,0.020024604775244294,0.04443273064680393,0.005279623714159206,0.07072705513564864,0.027813511260319456,0.0004262913134879835,1.1957483366131783e-05,0.020332629617769205,0.02670348202809686,0.0018092835089191758,0.0026111482293344696,7.341089076360626e-05,0.001782093993824661,0.019181638432200943,0.016240630531683495,4.030216950923125e-05,4.1515449993296875e-06,0.004051361771416802,0.00045747913100057655,0.004005840804893506,0.0014324185322038415,0.0987560130306519,0.10292501549702135,0.03811673352902287,0.03917096520308401,0.0021072322851978047,0.007744079222902616,0.01542740344302727,5.582114681601524e-07
00:00:00:08.8,31.0,0.009739050918142256,0.00013176943321010657,0.022512374285724897,0.04422877600882197,0.005673320403730003,0.07950997966690918,0.03570265616872343,0.0004117669595870417,0.00037509726826096587,0.018589125393191304,0.026684104232117478,0.0017421373049728377,0.003706191695528085,3.670544538180313e-05,0.0017593374268471806,0.019379762670723673,0.0197883296059444,2.0151084754615626e-05,0.0008392807503696148,0.003774507240450451,0.0012782320736732383,0.003862757614115203,0.0019317752157803209,0.1049774873827118,0.10605234926333648,0.040402298320259385,0.04042320308508346,0.0010536161425989024,0.009373624692670958,0.010721536498749585,1.4376535546034576e-05
00:00:00:09.9,31.0,0.009397461217304177,6.588471660505329e-05,0.02082442577375325,0.039614760607946636,0.005422798636573101,0.07953723454556888,0.034451741332304615,0.00029165083833497085,0.00018754863413048293,0.018683795540709952,0.02571804018225514,0.0018440492858644189,0.0029220339056336923,1.8352722690901564e-05,0.0008796687134235903,0.017856684382422786,0.0198957375832833,1.0075542377307813e-05,0.0004196403751848074,0.0039594668378412756,0.0011907467796845191,0.0032258138089673013,0.0021199639159021604,0.09859229194989891,0.10021454605157484,0.03827475453363144,0.03843197776586743,0.0005268080712994512,0.00913352932548148,0.010011159887653743,7.188267773017288e-06
